"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 30 17:51:50 CST 2022","Fri Sep 30 17:51:50 CST 2022","126","testcases.login","test_login","TestWeChatLogin","","","缺失secret","获取token"
"passed","Fri Sep 30 17:51:50 CST 2022","Fri Sep 30 17:51:51 CST 2022","247","testcases.tag","test_tag","TestWeChatTag","","","我叫dd","我是描述信息2"
"failed","Fri Sep 30 17:51:50 CST 2022","Fri Sep 30 17:51:50 CST 2022","38","testcases.login","test_login","TestWeChatLogin","","","缺失appid","获取token"
"passed","Fri Sep 30 17:51:51 CST 2022","Fri Sep 30 17:51:51 CST 2022","208","testcases.tag","test_tag","TestWeChatTag","","","我叫bb","我是描述信息4"
"passed","Fri Sep 30 17:51:51 CST 2022","Fri Sep 30 17:51:51 CST 2022","246","testcases.tag","test_tag","TestWeChatTag","","","我叫cc","我是描述信息3"
"failed","Fri Sep 30 17:51:50 CST 2022","Fri Sep 30 17:51:50 CST 2022","113","testcases.login","test_login","TestWeChatLogin","","","缺失grant_type","获取token"
"passed","Fri Sep 30 17:51:50 CST 2022","Fri Sep 30 17:51:50 CST 2022","219","testcases.tag","test_tag","TestWeChatTag","","","我叫xx","我是描述信息1"
"passed","Fri Sep 30 17:51:49 CST 2022","Fri Sep 30 17:51:49 CST 2022","591","testcases.login","test_login","TestWeChatLogin","","","正常获取token","获取token"
"passed","Fri Sep 30 17:51:49 CST 2022","Fri Sep 30 17:51:50 CST 2022","187","testcases.login","test_login","TestWeChatLogin","","","post获取","获取token"
